Gene	CGC513	BertVogelstein125	SMG127	Comprehensive435
TCEA1	CGC	.	.	.
HNF1A	CGC	.	.	.
TCF12	CGC	.	.	High Confidence Driver
TCF7L1	CGC	.	.	.
TCF7	.	.	.	High Confidence Driver
TCF7L2	CGC	.	.	High Confidence Driver
TCL1A	CGC	.	.	.
TCL6	CGC	.	.	.
TERT	CGC	.	.	.
TET2	CGC	TSG	1.60%	High Confidence Driver
TFDP1	.	.	.	High Confidence Driver
TFE3	CGC	.	.	.
TFEB	CGC	.	.	.
TFG	CGC	.	.	.
TFPT	CGC	.	.	.
TFRC	CGC	.	.	.
TGFBR2	.	.	1.10%	High Confidence Driver
TGIF1	.	.	.	High Confidence Driver
TGOLN2	.	.	.	Candidate driver
THRAP3	CGC	.	.	.
TICAM1	.	.	.	Candidate driver
TRIM24	CGC	.	.	.
TJP2	.	.	.	High Confidence Driver
TLR4	.	.	1.90%	Candidate driver
TLX1	CGC	.	.	.
TLX3	CGC	.	.	.
TMPRSS2	CGC	.	.	.
TNFAIP3	CGC	TSG	.	.
TNFRSF10C	.	.	.	High Confidence Driver
TNFRSF14	CGC	.	.	.
TNFRSF17	CGC	.	.	.
FAS	CGC	.	.	.
TNKS1BP1	.	.	.	Candidate driver
TNPO1	.	.	.	Candidate driver
TOM1	.	.	.	High Confidence Driver
TOP1	CGC	.	.	.
TOP3A	.	.	.	High Confidence Driver
TP53	CGC	TSG	42.00%	High Confidence Driver
TP53BP1	.	.	.	High Confidence Driver
TPM1	.	.	.	Candidate driver
TPM3	CGC	.	.	.
TPM4	CGC	.	.	.
TPR	CGC	.	.	High Confidence Driver
TRA	CGC	.	.	.
TRAF7	CGC	TSG	.	.
TRB	CGC	.	.	.
TRD	CGC	.	.	.
TRIM27	CGC	.	.	.
TRIM33	CGC	.	.	.
TRIM7	.	.	.	High Confidence Driver
TRIO	.	.	.	High Confidence Driver
TRIP11	CGC	.	.	High Confidence Driver
TSC1	CGC	TSG	.	.
TSC2	CGC	.	.	High Confidence Driver
TSHR	CGC	Oncogene	.	.
TSHZ2	.	.	1.80%	.
TSHZ3	.	.	2.60%	.
TTK	.	.	.	Candidate driver
TTL	CGC	.	.	.
TUBA1A	.	.	.	High Confidence Driver
TXNIP	.	.	.	High Confidence Driver
U2AF1	CGC	Oncogene	0.80%	High Confidence Driver
UBE2Z	.	.	.	Candidate driver
UBE4A	.	.	.	Candidate driver
UBR5	CGC	.	.	.
UHRF1BP1L	.	.	.	High Confidence Driver
USP28	.	.	.	Candidate driver
USP6	CGC	.	.	.
USP9X	.	.	2.10%	Candidate driver
UTP14A	.	.	.	Candidate driver
VEZF1	.	.	0.60%	.
VEZT	.	.	.	Candidate driver
VHL	CGC	TSG	6.90%	High Confidence Driver
VTI1A	CGC	.	.	.
WAS	CGC	.	.	.
WHSC1	CGC	.	.	High Confidence Driver
WHSC1L1	CGC	.	.	High Confidence Driver
WIF1	CGC	.	.	.
WRN	CGC	.	.	High Confidence Driver
WT1	CGC	TSG	1.00%	High Confidence Driver
AMER1	CGC	.	.	.
WWTR1	CGC	.	.	.
XPA	CGC	.	.	.
XPC	CGC	.	.	.
XPO1	CGC	.	.	.
YWHAE	CGC	.	.	.
ZEB2	.	.	.	Candidate driver
ZFHX3	.	.	.	High Confidence Driver
ZFP36L1	.	.	.	High Confidence Driver
ZFP36L2	.	.	.	High Confidence Driver
ZMYM2	.	.	.	High Confidence Driver
ZMYM4	.	.	.	Candidate driver
ZMYND8	.	.	.	Candidate driver
ZNF132	.	.	.	High Confidence Driver
ZBTB16	CGC	.	.	.
ZMYM2	CGC	.	.	.
PATZ1	CGC	.	.	.
ZNF300	.	.	.	High Confidence Driver
ZNF331	CGC	.	.	.
ZNF384	CGC	.	.	.
ZNF451	.	.	.	Candidate driver
ZNF521	CGC	.	.	.
ZNF703	.	.	.	Candidate driver
ZNF814	.	.	.	High Confidence Driver
ZNF844	.	.	.	High Confidence Driver
CNBP	CGC	.	.	.
ZNF91	.	.	.	High Confidence Driver
